Collected,Message Time Stamp,Source ID,Source ID Description,NDOT Link ID,Route,From Route,To Route,Link Description,RM ID,Lane Number,Vehicles,Violations,AQD Presence,HOV,Staus
06/18/2012 10:21,06/18/2012 10:28,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,26,0,0,0,1
06/18/2012 10:21,06/18/2012 10:28,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,14,0,4,0,1
06/18/2012 10:28,06/18/2012 10:33,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,13,0,4,0,1
06/18/2012 10:28,06/18/2012 10:33,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 10:28,06/18/2012 10:33,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,20,0,0,0,1
06/18/2012 10:28,06/18/2012 10:33,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 10:33,06/18/2012 10:39,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 10:33,06/18/2012 10:39,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,8,0,3,0,1
06/18/2012 10:33,06/18/2012 10:39,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,11,0,0,0,1
06/18/2012 10:33,06/18/2012 10:39,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 10:39,06/18/2012 10:44,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 10:39,06/18/2012 10:44,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,17,0,0,0,1
06/18/2012 10:39,06/18/2012 10:44,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,11,0,2,0,1
06/18/2012 10:39,06/18/2012 10:44,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 10:44,06/18/2012 10:50,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 10:44,06/18/2012 10:50,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 10:44,06/18/2012 10:50,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,13,0,3,0,1
06/18/2012 10:44,06/18/2012 10:50,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,22,0,0,0,1
06/18/2012 10:50,06/18/2012 10:56,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 10:50,06/18/2012 10:56,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 10:50,06/18/2012 10:56,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,13,0,0,0,1
06/18/2012 10:50,06/18/2012 10:56,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,9,0,3,0,1
06/18/2012 10:56,06/18/2012 11:03,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 10:56,06/18/2012 11:03,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,15,0,0,0,1
06/18/2012 10:56,06/18/2012 11:03,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,13,0,2,0,1
06/18/2012 10:56,06/18/2012 11:03,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
